1257 Bluejay Circle,Baltimore,MD,United States,69.12,39.2847,-76.6205,true,16,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",3,1
9 Center Road,Cincinnati,OH,United States,79.06,39.2692,-84.3307,true,17,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2,1
56091 Barby Avenue,Boston,MA,United States,26.11,42.3611,-71.0682,false,18,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",5,2
9 Onsgard Road,Milwaukee,WI,United States,75.43,42.9559,-87.9933,true,19,Sed ante. Vivamus tortor. Duis mattis egestas metus.,2,2
90222 Talmadge Court,Panama City,FL,United States,26.28,30.2345,-85.692,true,20,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,2,2
167 Hoepker Street,Mountain View,CA,United States,74.78,37.1894,-121.7053,true,21,Fusce consequat. Nulla nisl. Nunc nisl.,4,3
29 Pond Drive,El Paso,TX,United States,114.54,31.6948,-106.3,true,22,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,5,3
0653 Union Alley,Columbus,OH,United States,42.94,40.1454,-82.9817,true,23,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,2,3
098 Meadow Vale Point,Miami,FL,United States,67.71,25.6615,-80.441,true,24,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",4,2
06 Kennedy Lane,Olympia,WA,United States,68.93,47.1126,-122.7794,false,25,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4,2
746 North Drive,Scottsdale,AZ,United States,71.56,33.2765,-112.1872,false,26,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",4,1
77717 Fordem Trail,South Bend,IN,United States,83.26,41.6255,-86.2433,true,27,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,1,1
1 Red Cloud Drive,New Haven,CT,United States,55.05,41.3087,-72.9271,false,28,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",3,3
7 Old Shore Plaza,Sacramento,CA,United States,91.61,38.5568,-121.4929,false,29,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,5,3
40278 Gerald Drive,Detroit,MI,United States,28.06,42.2399,-83.1508,false,30,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",2,2
21 Clove Point,Fort Lauderdale,FL,United States,70.42,26.1219,-80.1436,false,31,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2,3
616 Talisman Alley,North Hollywood,CA,United States,110.50,33.7866,-118.2987,true,32,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,2,2
9954 Sunbrook Center,Boston,MA,United States,96.40,42.3389,-70.9196,false,33,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2,2
87376 Monument Lane,Baton Rouge,LA,United States,29.21,30.3795,-91.1671,false,34,In congue. Etiam justo. Etiam pretium iaculis justo.,3,1
08 Katie Street,Providence,RI,United States,61.10,41.7845,-71.3959,true,35,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,4,3
0 Judy Drive,Sioux Falls,SD,United States,100.80,43.6746,-96.7913,true,36,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1,3
75 Tennessee Center,San Antonio,TX,United States,114.08,29.5054,-98.6688,false,37,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5,3
56767 Reinke Plaza,New York City,NY,United States,35.99,40.7524,-73.9791,false,38,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,5,2
23336 Chinook Alley,San Bernardino,CA,United States,104.93,34.84,-115.9671,true,39,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,4,1
24894 Monica Crossing,Cincinnati,OH,United States,90.52,39.1092,-84.6108,true,40,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",4,2
4 Petterle Avenue,Saint Petersburg,FL,United States,79.47,27.8918,-82.7248,false,41,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",4,1
1723 Dorton Point,Lafayette,IN,United States,26.73,40.4001,-86.8602,true,42,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",3,2
60570 Mockingbird Hill,Pittsburgh,PA,United States,47.51,40.4344,-80.0248,false,43,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,5,3
9 Bartelt Point,Washington,DC,United States,85.50,38.9087,-77.0414,true,44,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",5,2
70 Coolidge Trail,Charleston,SC,United States,50.07,32.7976,-79.9493,true,45,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,5,1
720 Cardinal Lane,Mesquite,TX,United States,72.62,32.7403,-96.5618,true,46,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,2,3
9 Ilene Hill,Savannah,GA,United States,111.33,31.9714,-81.0716,false,47,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,3,3
1681 Dawn Drive,Van Nuys,CA,United States,57.68,34.1781,-118.4574,false,48,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",2,2
0272 Lakeland Way,Yakima,WA,United States,105.60,46.6288,-120.574,true,49,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",3,3
4 Heffernan Parkway,Memphis,TN,United States,58.30,35.2017,-89.9715,true,50,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,5,2
7008 Fremont Avenue,Amarillo,TX,United States,119.62,35.1885,-101.8165,true,51,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",4,1
6 Schlimgen Circle,Phoenix,AZ,United States,73.77,33.2765,-112.1872,false,52,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,2,3
564 Mayfield Place,Worcester,MA,United States,96.13,42.2492,-71.8108,false,53,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2,3
88973 Upham Pass,Johnson City,TN,United States,37.10,36.3158,-82.3838,true,54,In congue. Etiam justo. Etiam pretium iaculis justo.,3,3
170 Pankratz Trail,Baltimore,MD,United States,86.48,39.2856,-76.6899,true,55,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",5,3
4108 Helena Place,Trenton,NJ,United States,111.54,40.2805,-74.712,true,56,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,4,3
01 Ilene Crossing,Dayton,OH,United States,52.01,39.6749,-84.1136,true,57,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",4,3
4 Boyd Pass,El Paso,TX,United States,110.40,31.7674,-106.4304,true,58,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,4,3
2 Nancy Circle,Las Vegas,NV,United States,116.64,36.086,-115.1471,false,59,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,4,2
6585 Leroy Street,New Orleans,LA,United States,89.81,30.033,-89.8826,true,60,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,3,1
7 Heath Center,Boulder,CO,United States,61.29,40.0878,-105.3735,true,61,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",3,2
295 Starling Place,Phoenix,AZ,United States,31.70,33.2765,-112.1872,false,62,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,3,2
0725 Ramsey Drive,Mobile,AL,United States,72.10,30.671,-88.1267,true,63,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,5,3
8876 Summit Point,Birmingham,AL,United States,71.32,33.5452,-86.6655,true,64,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,2,3
774 Fair Oaks Circle,Vancouver,WA,United States,33.12,45.6231,-122.5767,false,65,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",1,3
15005 International Road,Olympia,WA,United States,70.95,47.1042,-122.87,true,66,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",5,1
92 Dorton Alley,San Antonio,TX,United States,60.95,29.4189,-98.6895,false,67,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",3,1
7 Nancy Center,Columbus,OH,United States,110.80,40.081,-82.9383,true,68,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1,3
7 Vernon Park,Oklahoma City,OK,United States,99.16,35.4242,-97.6547,false,69,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",3,1
8 Haas Point,Hartford,CT,United States,95.98,41.7918,-72.7188,false,70,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",3,1
60 Evergreen Street,Las Vegas,NV,United States,32.56,36.086,-115.1471,true,71,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",1,3
7 Arapahoe Plaza,Columbia,SC,United States,33.47,34.006,-80.9708,true,72,Sed ante. Vivamus tortor. Duis mattis egestas metus.,1,1
98964 Sommers Circle,Racine,WI,United States,61.29,42.7161,-87.8233,true,73,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,5,3
206 New Castle Road,Sacramento,CA,United States,79.01,38.3774,-121.4444,false,74,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",2,1
79759 8th Circle,Salt Lake City,UT,United States,66.63,40.7713,-111.9309,true,75,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",5,2
00 1st Terrace,Columbia,SC,United States,52.58,34.006,-80.9708,true,76,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",4,2
0 Thompson Place,Tampa,FL,United States,95.55,27.872,-82.4388,false,77,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,1,2
50 Homewood Avenue,Arlington,TX,United States,47.37,32.7582,-97.1003,true,78,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1,2
457 Lukken Point,Peoria,IL,United States,98.55,40.6775,-89.6263,true,79,Phasellus in felis. Donec semper sapien a libero. Nam dui.,2,1
1372 Lakeland Alley,Jamaica,NY,United States,33.43,40.6913,-73.8059,false,80,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,1,3
33 International Parkway,Memphis,TN,United States,116.03,35.0981,-89.9825,true,81,Sed ante. Vivamus tortor. Duis mattis egestas metus.,3,1
5373 Lakeland Pass,Shawnee Mission,KS,United States,109.51,38.9613,-94.8222,false,82,Fusce consequat. Nulla nisl. Nunc nisl.,4,2
076 Spaight Alley,Atlanta,GA,United States,79.54,33.8444,-84.474,true,83,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,3,1
4786 1st Way,Berkeley,CA,United States,91.17,37.8571,-122.25,false,84,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,3,2
50691 Hoepker Drive,Toledo,OH,United States,108.14,41.6538,-83.6589,false,85,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,4,3
963 Kensington Terrace,Wichita Falls,TX,United States,103.20,33.8581,-98.5755,true,86,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,5,3
10 Grayhawk Place,New York City,NY,United States,65.88,40.7808,-73.9772,true,87,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",4,3
4 Westridge Street,Houston,TX,United States,27.97,29.6218,-95.4819,true,88,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",4,3
73121 Corry Parkway,Longview,TX,United States,84.10,32.5547,-94.7767,true,89,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,2,2
2 Del Mar Pass,Los Angeles,CA,United States,70.71,33.9631,-118.3941,false,90,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",3,2
9113 Portage Circle,Fort Wayne,IN,United States,86.03,41.1465,-85.1232,true,91,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",2,3
859 Mallory Avenue,Norfolk,VA,United States,37.76,36.8787,-76.2604,false,92,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,2,3
64241 Golf View Point,Wilmington,DE,United States,29.43,39.8188,-75.5064,true,93,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,4,2
9891 Talmadge Pass,Houston,TX,United States,25.23,29.6518,-95.4854,false,94,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1,1
6378 Twin Pines Pass,Vancouver,WA,United States,82.41,45.6231,-122.5767,true,95,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,3,1
7883 Mandrake Center,Portland,OR,United States,114.45,45.5806,-122.3748,false,96,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,5,1
46 Emmet Crossing,Minneapolis,MN,United States,33.19,45.0159,-93.4719,true,97,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2,1
624 Gale Pass,Juneau,AK,United States,65.79,58.3271,-134.4742,false,98,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,3,1
79 Iowa Way,Louisville,KY,United States,85.69,38.189,-85.6768,false,99,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",5,2
538 Sage Park,Chicago,IL,United States,75.55,41.9229,-87.6483,true,100,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",4,2
56084 Grasskamp Lane,Canton,OH,United States,68.05,40.7911,-81.4169,true,101,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",2,2
6932 Derek Junction,Boston,MA,United States,50.72,42.3389,-70.9196,false,102,Phasellus in felis. Donec semper sapien a libero. Nam dui.,2,1
76 Waywood Junction,Washington,DC,United States,45.64,38.8933,-77.0146,false,103,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,1,2
31577 Lotheville Way,Galveston,TX,United States,34.63,29.2243,-94.9637,false,104,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,3,1
0805 Forest Dale Circle,Athens,GA,United States,31.21,33.9443,-83.3891,true,105,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",2,3
7467 Hanover Road,Honolulu,HI,United States,31.66,21.3068,-157.8607,false,106,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,5,1
589 Oxford Point,Tucson,AZ,United States,94.05,31.9701,-111.8907,false,107,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,5,3
39 Redwing Alley,Washington,DC,United States,81.09,38.905,-77.0162,false,108,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,2,3
6 Carey Junction,Oklahoma City,OK,United States,26.66,35.421,-97.5616,false,109,Sed ante. Vivamus tortor. Duis mattis egestas metus.,3,1
916 Superior Point,Peoria,IL,United States,47.79,40.692,-89.5887,false,110,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",5,3
70864 Huxley Court,Shawnee Mission,KS,United States,76.34,38.8999,-94.832,false,111,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1,1
08 Aberg Alley,Peoria,IL,United States,45.37,40.6775,-89.6263,true,112,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1,3
03 Vermont Alley,Montgomery,AL,United States,84.71,32.3544,-86.2843,true,113,In congue. Etiam justo. Etiam pretium iaculis justo.,3,3
6 Jackson Hill,Los Angeles,CA,United States,26.23,33.7866,-118.2987,false,114,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",2,2
87 South Hill,Denver,CO,United States,58.34,39.9274,-104.9548,true,115,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",5,2
8470 Golf View Court,Buffalo,NY,United States,44.55,42.7684,-78.8871,false,116,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1,3
9 Bluestem Point,Oklahoma City,OK,United States,111.02,35.5514,-97.4075,false,117,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",1,3
417 Corben Place,Fort Worth,TX,United States,54.05,32.7714,-97.2915,false,118,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",5,2
35519 Meadow Ridge Parkway,San Francisco,CA,United States,104.34,37.7848,-122.7278,true,119,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,4,3
800 Jay Alley,Tucson,AZ,United States,24.26,32.2519,-110.82,false,120,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,1,1
5008 Comanche Circle,Bozeman,MT,United States,105.04,45.7246,-111.1238,false,121,Phasellus in felis. Donec semper sapien a libero. Nam dui.,3,1
0670 Dexter Place,Charleston,WV,United States,33.20,38.354,-81.6394,true,122,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",1,2
1 Division Street,Young America,MN,United States,81.83,45.0159,-93.4719,true,123,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",5,1
2130 Eagan Alley,Sunnyvale,CA,United States,68.56,37.3983,-122.0006,true,124,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1,2
3 Killdeer Way,Washington,DC,United States,51.86,38.9,-77.0369,false,125,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,3,2
74209 Mayer Parkway,Sacramento,CA,United States,90.53,38.6406,-121.444,false,126,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",4,1
45764 Gulseth Park,Houston,TX,United States,68.02,30.0167,-95.447,false,127,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",5,2
4306 Nova Parkway,Bronx,NY,United States,112.47,40.8139,-73.8841,false,128,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,3,3
999 Fair Oaks Circle,New York City,NY,United States,89.32,40.754,-73.9808,true,129,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",3,1
58024 Green Ridge Crossing,Ridgely,MD,United States,45.80,38.8893,-75.8612,true,130,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",2,2
032 Wayridge Street,Indianapolis,IN,United States,52.33,39.849,-86.272,false,131,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",5,3
0 Doe Crossing Alley,Waltham,MA,United States,37.34,42.3654,-71.2316,true,132,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",3,3
488 Cascade Parkway,Reading,PA,United States,69.49,40.3886,-75.9328,false,133,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,2,3
4639 Rutledge Center,Saint Louis,MO,United States,96.95,38.6128,-90.2185,false,134,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,3,2
031 Lake View Terrace,Flushing,NY,United States,26.67,40.6514,-73.8708,true,135,Sed ante. Vivamus tortor. Duis mattis egestas metus.,4,2
84 Golf Course Lane,Rochester,NY,United States,118.05,43.174,-77.5637,false,136,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",4,2
7094 Sachtjen Way,Detroit,MI,United States,29.02,42.2399,-83.1508,false,137,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,1,1
38530 Oriole Avenue,Portland,OR,United States,84.31,45.5078,-122.6897,true,138,Fusce consequat. Nulla nisl. Nunc nisl.,4,1
